"","symbol","date","open","close"
"4258","ETH","2016-05-04",9.38,9.41
"4259","ETH","2016-05-05",9.4,9.83
"4260","ETH","2016-05-06",9.81,9.35
"4261","ETH","2016-05-07",9.32,9.37
"4262","ETH","2016-05-08",9.37,9.48
"4263","ETH","2016-05-09",9.49,9.3
"4264","ETH","2016-05-10",9.28,9.36
"4265","ETH","2016-05-11",9.43,10
"4266","ETH","2016-05-12",10,10.06
"4267","ETH","2016-05-13",10.06,10.51
"4268","ETH","2016-05-14",10.51,10.24
"4269","ETH","2016-05-15",10.24,9.96
"4270","ETH","2016-05-16",9.97,11.17
"4271","ETH","2016-05-17",11.19,12.2
"4272","ETH","2016-05-18",12.18,13.56
"4273","ETH","2016-05-19",13.54,14.77
"4274","ETH","2016-05-20",14.85,13.64
"4275","ETH","2016-05-21",13.69,14.02
"4276","ETH","2016-05-22",14.04,14.29
"4277","ETH","2016-05-23",14.28,13.46
"4278","ETH","2016-05-24",13.31,12.73
"4279","ETH","2016-05-25",12.79,12.53
"4280","ETH","2016-05-26",12.52,12.43
"4281","ETH","2016-05-27",12.39,11.3
"4282","ETH","2016-05-28",11.33,11.89
"4283","ETH","2016-05-29",12.11,12.35
"4284","ETH","2016-05-30",12.33,12.73
"4285","ETH","2016-05-31",12.74,14.08
"4286","ETH","2016-06-01",14.11,14
"4287","ETH","2016-06-02",13.99,13.74
"4288","ETH","2016-06-03",13.74,13.85
"4289","ETH","2016-06-04",13.86,13.74
"4290","ETH","2016-06-05",13.76,13.98
"4291","ETH","2016-06-06",14,13.93
"4292","ETH","2016-06-07",13.95,14.51
"4293","ETH","2016-06-08",14.51,14.42
"4294","ETH","2016-06-09",14.43,14.4
"4295","ETH","2016-06-10",14.38,13.91
"4296","ETH","2016-06-11",13.91,14.19
"4297","ETH","2016-06-12",14.19,15.74
"4298","ETH","2016-06-13",15.77,17.6
"4299","ETH","2016-06-14",17.61,18.89
"4300","ETH","2016-06-15",18.91,18.35
"4301","ETH","2016-06-16",18.36,20.59
"4302","ETH","2016-06-17",20.65,15.38
"4303","ETH","2016-06-18",15.38,11.33
"4304","ETH","2016-06-19",11.17,12.23
"4305","ETH","2016-06-20",12.24,11.84
"4306","ETH","2016-06-21",11.82,13.31
"4307","ETH","2016-06-22",13.2,13.1
"4308","ETH","2016-06-23",13.22,13.68
"4309","ETH","2016-06-24",13.68,14.33
"4310","ETH","2016-06-25",14.3,14.28
"4311","ETH","2016-06-26",14.26,13.85
"4312","ETH","2016-06-27",13.81,13.88
"4313","ETH","2016-06-28",13.93,12.18
"4314","ETH","2016-06-29",12.17,12.61
"4315","ETH","2016-06-30",12.6,12.46
"4316","ETH","2016-07-01",12.44,12.2
"4317","ETH","2016-07-02",12.22,12.13
"4318","ETH","2016-07-03",12.12,11.72
"4319","ETH","2016-07-04",11.7,11.47
"4320","ETH","2016-07-05",11.46,10.61
"4321","ETH","2016-07-06",10.58,10.53
"4322","ETH","2016-07-07",10.54,10.11
"4323","ETH","2016-07-08",10.12,11.39
"4324","ETH","2016-07-09",11.42,10.97
"4325","ETH","2016-07-10",10.96,10.95
"4326","ETH","2016-07-11",10.94,10.46
"4327","ETH","2016-07-12",10.45,10.52
"4328","ETH","2016-07-13",10.51,10.5
"4329","ETH","2016-07-14",10.6,11.51
"4330","ETH","2016-07-15",11.5,11.95
"4331","ETH","2016-07-16",11.92,11.65
"4332","ETH","2016-07-17",11.62,11.16
"4333","ETH","2016-07-18",11.17,11.03
"4334","ETH","2016-07-19",11.05,11.62
"4335","ETH","2016-07-20",11.59,12.45
"4336","ETH","2016-07-21",12.46,12.65
"4337","ETH","2016-07-22",12.66,14.66
"4338","ETH","2016-07-23",14.67,14.3
