"","symbol","date","open","close"
"674","BTC","2015-03-02",260.36,275.67
"675","BTC","2015-03-03",275.05,281.7
"676","BTC","2015-03-04",281.99,273.09
"677","BTC","2015-03-05",272.74,276.18
"678","BTC","2015-03-06",275.6,272.72
"679","BTC","2015-03-07",272.29,276.26
"680","BTC","2015-03-08",276.43,274.35
"681","BTC","2015-03-09",274.81,289.61
"682","BTC","2015-03-10",289.86,291.76
"683","BTC","2015-03-11",291.52,296.38
"684","BTC","2015-03-12",296.13,294.35
"685","BTC","2015-03-13",294.12,285.34
"686","BTC","2015-03-14",284.44,281.89
"687","BTC","2015-03-15",281.42,286.39
"688","BTC","2015-03-16",285.68,290.59
"689","BTC","2015-03-17",290.6,285.51
"690","BTC","2015-03-18",285.07,256.3
"691","BTC","2015-03-19",255.88,260.93
"692","BTC","2015-03-20",260.96,261.75
"693","BTC","2015-03-21",261.64,260.02
"694","BTC","2015-03-22",259.92,267.96
"695","BTC","2015-03-23",267.89,266.74
"696","BTC","2015-03-24",266.58,245.6
"697","BTC","2015-03-25",247.47,246.2
"698","BTC","2015-03-26",246.28,248.53
"699","BTC","2015-03-27",248.57,247.03
"700","BTC","2015-03-28",246.98,252.8
"701","BTC","2015-03-29",252.74,242.71
"702","BTC","2015-03-30",242.88,247.53
"703","BTC","2015-03-31",247.45,244.22
"704","BTC","2015-04-01",244.22,247.27
"705","BTC","2015-04-02",247.09,253.01
"706","BTC","2015-04-03",253.07,254.32
"707","BTC","2015-04-04",254.29,253.7
"708","BTC","2015-04-05",253.76,260.6
"709","BTC","2015-04-06",260.72,255.49
"710","BTC","2015-04-07",255.27,253.18
"711","BTC","2015-04-08",253.06,245.02
"712","BTC","2015-04-09",244.75,243.68
"713","BTC","2015-04-10",243.69,236.07
"714","BTC","2015-04-11",236.02,236.55
"715","BTC","2015-04-12",236.54,236.15
"716","BTC","2015-04-13",235.95,224.59
"717","BTC","2015-04-14",224.76,219.16
"718","BTC","2015-04-15",219.07,223.83
"719","BTC","2015-04-16",223.92,228.57
"720","BTC","2015-04-17",228.57,222.88
"721","BTC","2015-04-18",222.85,223.36
"722","BTC","2015-04-19",223.46,222.6
"723","BTC","2015-04-20",222.61,224.63
"724","BTC","2015-04-21",224.62,235.27
"725","BTC","2015-04-22",235.6,234.18
"726","BTC","2015-04-23",234.05,236.46
"727","BTC","2015-04-24",235.97,231.27
"728","BTC","2015-04-25",231.24,226.39
"729","BTC","2015-04-26",226.41,219.43
"730","BTC","2015-04-27",219.43,229.29
"731","BTC","2015-04-28",228.97,225.85
"732","BTC","2015-04-29",225.59,225.81
"733","BTC","2015-04-30",225.69,236.15
"734","BTC","2015-05-01",235.94,232.08
"735","BTC","2015-05-02",232.34,234.93
"736","BTC","2015-05-03",234.88,240.36
"737","BTC","2015-05-04",240.36,239.02
"738","BTC","2015-05-05",238.85,236.12
"739","BTC","2015-05-06",236.25,229.78
"740","BTC","2015-05-07",229.66,237.33
"741","BTC","2015-05-08",237.2,243.86
"742","BTC","2015-05-09",243.77,241.83
"743","BTC","2015-05-10",241.73,240.3
"744","BTC","2015-05-11",240.3,242.16
"745","BTC","2015-05-12",242.15,241.11
"746","BTC","2015-05-13",241.4,236.38
"747","BTC","2015-05-14",236.21,236.93
"748","BTC","2015-05-15",236.96,237.6
"749","BTC","2015-05-16",237.64,236.15
"750","BTC","2015-05-17",236.01,236.8
"751","BTC","2015-05-18",236.89,233.13
"752","BTC","2015-05-19",233.04,231.95
"753","BTC","2015-05-20",231.89,234.02
"754","BTC","2015-05-21",234.02,235.34
"755","BTC","2015-05-22",235.32,240.35
"756","BTC","2015-05-23",240.29,238.87
"757","BTC","2015-05-24",238.98,240.95
"758","BTC","2015-05-25",240.93,237.11
"759","BTC","2015-05-26",237.1,237.12
"760","BTC","2015-05-27",237.07,237.28
"761","BTC","2015-05-28",237.26,237.41
"762","BTC","2015-05-29",237.38,237.1
"763","BTC","2015-05-30",237.09,233.35
"764","BTC","2015-05-31",233.13,230.19
"765","BTC","2015-06-01",230.23,222.93
"766","BTC","2015-06-02",222.89,225.8
"767","BTC","2015-06-03",225.74,225.87
"768","BTC","2015-06-04",225.77,224.32
"769","BTC","2015-06-05",224.15,224.95
"770","BTC","2015-06-06",225.01,225.62
"771","BTC","2015-06-07",225.6,222.88
"772","BTC","2015-06-08",222.88,228.49
"773","BTC","2015-06-09",228.54,229.05
"774","BTC","2015-06-10",228.99,228.8
"775","BTC","2015-06-11",228.85,229.71
"776","BTC","2015-06-12",229.71,229.98
"777","BTC","2015-06-13",229.92,232.4
"778","BTC","2015-06-14",232.44,233.54
"779","BTC","2015-06-15",233.42,236.82
"780","BTC","2015-06-16",236.76,250.9
"781","BTC","2015-06-17",250.82,249.28
"782","BTC","2015-06-18",249.43,249.01
"783","BTC","2015-06-19",249.04,244.61
"784","BTC","2015-06-20",244.53,245.21
"785","BTC","2015-06-21",245.1,243.94
"786","BTC","2015-06-22",243.97,246.99
"787","BTC","2015-06-23",246.93,244.3
"788","BTC","2015-06-24",244.28,240.51
"789","BTC","2015-06-25",240.37,242.8
"790","BTC","2015-06-26",242.6,243.59
"791","BTC","2015-06-27",243.55,250.99
"792","BTC","2015-06-28",250.96,249.01
"793","BTC","2015-06-29",248.72,257.06
"794","BTC","2015-06-30",257.04,263.07
"795","BTC","2015-07-01",263.35,258.62
"796","BTC","2015-07-02",258.55,255.41
"797","BTC","2015-07-03",255.46,256.34
"798","BTC","2015-07-04",256.49,260.89
"799","BTC","2015-07-05",260.8,271.91
"800","BTC","2015-07-06",271.11,269.03
"801","BTC","2015-07-07",269.96,266.21
"802","BTC","2015-07-08",265.98,270.79
"803","BTC","2015-07-09",270.83,269.23
"804","BTC","2015-07-10",269.16,284.89
"805","BTC","2015-07-11",284.88,293.11
"806","BTC","2015-07-12",293.14,310.87
"807","BTC","2015-07-13",310.83,292.05
"808","BTC","2015-07-14",292.03,287.46
"809","BTC","2015-07-15",288.05,285.83
"810","BTC","2015-07-16",286.04,278.09
"811","BTC","2015-07-17",278.09,279.47
"812","BTC","2015-07-18",279.33,274.9
"813","BTC","2015-07-19",274.77,273.61
"814","BTC","2015-07-20",273.5,278.98
